Date,Open,High,Low,Close,Volume
2013-APR-28,135.3,135.98,132.1,134.21,-
2013-APR-29,134.444,147.488,134.0,144.54,-
2013-APR-30,144.0,146.93,134.05,139.0,-
2013-MAY-01,139.0,139.89,107.72,116.99,-
2013-MAY-02,116.38,125.6,92.2819,105.21,-
2013-MAY-03,106.25,108.128,79.1,97.75,-
2013-MAY-04,98.1,115.0,92.5,112.5,-
2013-MAY-05,112.9,118.8,107.143,115.91,-
2013-MAY-06,115.98,124.663,106.64,112.3,-
2013-MAY-07,112.25,113.444,97.7,111.5,-
2013-MAY-08,109.6,115.78,109.6,113.566,-
2013-MAY-09,113.2,113.46,109.26,112.67,-
2013-MAY-10,112.799,122.0,111.551,117.2,-
2013-MAY-11,117.7,118.679,113.01,115.243,-
2013-MAY-12,115.64,117.449,113.435,115.0,-
2013-MAY-13,114.82,118.699,114.5,117.98,-
2013-MAY-14,117.98,119.8,110.25,111.5,-
2013-MAY-15,111.4,115.81,103.5,114.22,-
2013-MAY-16,114.22,118.76,112.2,118.76,-
2013-MAY-17,118.21,125.3,116.571,123.015,-
2013-MAY-18,123.5,125.25,122.3,123.498,-
2013-MAY-19,123.211,124.5,119.571,121.99,-
2013-MAY-20,122.5,123.621,120.12,122.0,-
2013-MAY-21,122.02,123.0,121.21,122.88,-
2013-MAY-22,122.89,124.001,122.0,123.889,-
2013-MAY-23,123.8,126.934,123.1,126.7,-
2013-MAY-24,126.3,133.85,125.719,133.2,-
2013-MAY-25,133.1,133.219,128.9,131.98,-
2013-MAY-26,131.986,136.0,130.615,133.48,-
2013-MAY-27,133.5,135.465,124.7,129.745,-
2013-MAY-28,129.77,130.58,125.6,129.0,-
2013-MAY-29,129.0,132.59,127.662,132.3,-
2013-MAY-30,132.25,132.25,127.0,128.799,-
2013-MAY-31,128.799,129.9,126.4,129.0,-
2013-JUN-01,128.815,129.78,127.199,129.3,-
2013-JUN-02,129.3,129.4,115.05,122.292,-
2013-JUN-03,122.5,122.5,116.0,122.222,-
2013-JUN-04,120.737,123.84,119.1,121.42,-
2013-JUN-05,121.4,123.469,119.899,121.65,-
2013-JUN-06,121.9,123.1,117.25,118.0,-
2013-JUN-07,118.97,119.0,106.42,111.5,-
2013-JUN-08,111.0,111.415,107.3,108.3,-
2013-JUN-09,107.892,108.99,88.5,100.0,-
2013-JUN-10,100.437,110.101,95.002,106.35,-
2013-JUN-11,106.35,109.6,104.0,108.9,-
2013-JUN-12,109.0,111.787,106.734,108.15,-
2013-JUN-13,108.776,110.3,100.53,104.0,-
2013-JUN-14,103.949,104.7,98.0,99.9789,-
2013-JUN-15,100.0,103.7,98.0,99.9881,-
2013-JUN-16,99.8,101.6,98.9466,99.51,-
